"name","price","oldPrice","discount","rating","ratingPercent","url","image"
"BLWOENS Men's Formal Shoes Tuxedo Dress Shoes Classic Oxfords Faux Patent Leather Shoe for Men Business Wedding Suit - Black","KSh 1,206","KSh 2,680","55%","4 out of 5",80,"https://www.jumia.co.ke/blwoens-mens-formal-shoes-tuxedo-dress-shoes-classic-oxfords-faux-patent-leather-shoe-for-men-business-wedding-suit-black-269541527.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5145962/1.jpg?3190"
"FUXING FASHION men formal shoes leather shoes","KSh 670","KSh 1,072","38%","3.7 out of 5",74,"https://www.jumia.co.ke/fuxing-fashion-men-formal-shoes-leather-shoes-318237286.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/2732813/1.jpg?9919"
"Amazing Men Fashion British Business Leather Shoes - Black","KSh 972","KSh 3,618","73%","3.5 out of 5",70,"https://www.jumia.co.ke/amazing-men-fashion-british-business-leather-shoes-black-169402819.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/8204961/1.jpg?3176"
"SHJO Loafers Men Oxford Male Breathable Casual Faux Leather Flexible Lightweight Elegant Slip-on Classic Formal Shoes  - Black","KSh 1,274 - KSh 1,349","KSh 2,546","50%","3.8 out of 5",76,"https://www.jumia.co.ke/shjo-loafers-men-oxford-male-breathable-casual-faux-leather-flexible-lightweight-elegant-slip-on-classic-formal-shoes-black-326506487.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/4605623/1.jpg?2076"
"GALUIN Mens Business Shoes","KSh 965","KSh 3,154","69%","3.7 out of 5",74,"https://www.jumia.co.ke/galuin-mens-business-shoes-65410344.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/301456/1.jpg?5765"
"Smartraha life RahaLife 5-layer Shoe Rack/Coat Rack/Cap Scarf Bag Cloths Hanger Household Storage Bedroom","KSh 1,099","KSh 2,999","63%","3.9 out of 5",78,"https://www.jumia.co.ke/smartraha-life-rahalife-5-layer-shoe-rackcoat-rackcap-scarf-bag-cloths-hanger-household-storage-bedroom-325925029.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/0529523/1.jpg?4354"
"AIDAILU Men's Formal Leather Shoes Business Elegant British Style Shoes - Black","KSh 938","KSh 1,742","46%","3.6 out of 5",72,"https://www.jumia.co.ke/aidailu-mens-formal-leather-shoes-business-elegant-british-style-shoes-black-172410360.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3014271/1.jpg?9421"
"KANGERDUN Men's Formal Leather Shoes Business Elegance - Black","KSh 1,114","KSh 2,278","51%","3.5 out of 5",70,"https://www.jumia.co.ke/kangerdun-mens-formal-leather-shoes-business-elegance-black-324984739.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7489423/1.jpg?7285"
"Children's Sport Lightweight Casual Shoes Boy Girls Breathable Mesh Comfort Kids Sneakers - Black","KSh 394 - KSh 600","KSh 670","41%","4.2 out of 5",84,"https://www.jumia.co.ke/fashion-childrens-sport-lightweight-casual-shoes-boy-girls-breathable-mesh-comfort-kids-sneakers-black-325469993.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/9964523/1.jpg?4892"
"GALUIN GALUIN Black Lace-Up Fashion Sneakers - Breathable, Non-Slip, Unisex, Sizes 41-47","KSh 938","KSh 1,508","38%","3.6 out of 5",72,"https://www.jumia.co.ke/galuin-galuin-black-lace-up-fashion-sneakers-breathable-non-slip-unisex-sizes-41-47-141426294.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2624141/1.jpg?9904"
"AIDAILU Men's Formal Shoes PU Leather Classic Male Casual Moccasins Loafers - Black","KSh 1,340","KSh 2,680","50%","3.7 out of 5",74,"https://www.jumia.co.ke/aidailu-mens-formal-shoes-pu-leather-classic-male-casual-moccasins-loafers-black-306785188.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1587603/1.jpg?8354"
"Nunix 5 Layer Shoe Rack – black","KSh 428","KSh 600","29%","3.7 out of 5",74,"https://www.jumia.co.ke/nunix-5-layer-shoe-rack-black-184490839.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/8094481/1.jpg?3370"
"CYFAZA 5-Tiers Shoe Rack Storage Organizer 18 Pairs Large Capacity","KSh 1,099","KSh 2,005","45%","3.8 out of 5",76,"https://www.jumia.co.ke/cyfaza-5-tiers-shoe-rack-storage-organizer-18-pairs-large-capacity-306426729.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/7624603/1.jpg?1906"
"AIDAILU Men's Formal Shoes Leather Shoes Comfort Casual Waterproof Oxford Shoes - Black","KSh 1,240","KSh 2,412","49%","3.6 out of 5",72,"https://www.jumia.co.ke/aidailu-mens-formal-shoes-leather-shoes-comfort-casual-waterproof-oxford-shoes-black-70352277.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/225307/1.jpg?6766"
"FUXING FASHION men formal shoes leather shoes","KSh 670","KSh 1,072","38%","3.3 out of 5",66,"https://www.jumia.co.ke/fuxing-fashion-men-formal-shoes-leather-shoes-317937506.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/5739713/1.jpg?5848"
"BLWOENS Men's Formal Shoes Tuxedo Dress Shoes Classic Oxfords Faux Patent Leather Shoe Lace-up Dress Shoes for Business Wedding Suit  - Black","KSh 1,206","KSh 1,742","31%","3.7 out of 5",74,"https://www.jumia.co.ke/blwoens-mens-formal-shoes-tuxedo-dress-shoes-classic-oxfords-faux-patent-leather-shoe-lace-up-dress-shoes-for-business-wedding-suit-black-260816915.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/9618062/1.jpg?3384"
